baseline,metric,akn_mean,base_mean,delta_mean,ci_lo,ci_hi,p_raw,p_bonferroni,sig_level,effect
baseline_bm25_full,citation_f1,0.30101,0.09295,0.20806,0.16222,0.25575,0.0001,0.0036,**,d=0.552
baseline_bm25_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_bm25_full,jir,0.01639,0.01639,0.0,-0.01639,0.01639,1.1978,1.0,ns,ARD=0.000;RR=1.000
baseline_bm25_full,mrr,0.2999,0.19706,0.10284,0.06106,0.14577,0.0001,0.0036,**,d=0.305
baseline_bm25_full,ndcg,0.31471,0.21683,0.09788,0.05681,0.14057,0.0001,0.0036,**,d=0.292
baseline_bm25_full,abstention_f1,0.6755,0.0,0.6755,0.58394,0.7561,0.0001,0.0036,**,d=15.282
baseline_dense_full,citation_f1,0.30101,0.0633,0.23771,0.18957,0.28542,0.0001,0.0036,**,d=0.615
baseline_dense_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_dense_full,jir,0.01639,0.0082,0.0082,-0.0082,0.02459,0.4528,1.0,ns,ARD=0.008;RR=2.000
baseline_dense_full,mrr,0.2999,0.1418,0.1581,0.10721,0.21067,0.0001,0.0036,**,d=0.385
baseline_dense_full,ndcg,0.31471,0.15757,0.15714,0.10586,0.20924,0.0001,0.0036,**,d=0.383
baseline_dense_full,abstention_f1,0.6755,0.0,0.6755,0.58462,0.75581,0.0001,0.0036,**,d=15.376
baseline_hybrid_full,citation_f1,0.30101,0.09372,0.20729,0.1619,0.25592,0.0001,0.0036,**,d=0.553
baseline_hybrid_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_hybrid_full,jir,0.01639,0.0082,0.0082,0.0,0.02049,0.2654,1.0,ns,ARD=0.008;RR=2.000
baseline_hybrid_full,mrr,0.2999,0.21325,0.08665,0.04403,0.12979,0.0001,0.0036,**,d=0.251
baseline_hybrid_full,ndcg,0.31471,0.23045,0.08426,0.04129,0.12805,0.0001,0.0036,**,d=0.247
baseline_hybrid_full,abstention_f1,0.6755,0.0,0.6755,0.58333,0.75582,0.0001,0.0036,**,d=15.273
baseline_hybrid_rerank_full,citation_f1,0.30101,0.10523,0.19578,0.14904,0.24356,0.0001,0.0036,**,d=0.522
baseline_hybrid_rerank_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_hybrid_rerank_full,jir,0.01639,0.02869,-0.0123,-0.03279,0.0082,0.325,1.0,ns,ARD=-0.012;RR=0.571
baseline_hybrid_rerank_full,mrr,0.2999,0.24167,0.05824,0.01267,0.1034,0.0134,0.4824,ns,d=0.159
baseline_hybrid_rerank_full,ndcg,0.31471,0.25842,0.05629,0.01176,0.10184,0.0144,0.5184,ns,d=0.156
baseline_hybrid_rerank_full,abstention_f1,0.6755,0.0,0.6755,0.58333,0.75642,0.0001,0.0036,**,d=15.261
baseline_kg_full,citation_f1,0.30101,0.02229,0.27872,0.23143,0.32869,0.0001,0.0036,**,d=0.710
baseline_kg_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_kg_full,jir,0.01639,0.0082,0.0082,-0.0123,0.02869,0.526,1.0,ns,ARD=0.008;RR=2.000
baseline_kg_full,mrr,0.2999,0.03477,0.26513,0.21182,0.32022,0.0001,0.0036,**,d=0.619
baseline_kg_full,ndcg,0.31471,0.04187,0.27284,0.21945,0.32732,0.0001,0.0036,**,d=0.628
baseline_kg_full,abstention_f1,0.6755,0.07692,0.59857,0.48014,0.70318,0.0001,0.0036,**,d=10.460
baseline_kg_hybrid_full,citation_f1,0.30101,0.08335,0.21766,0.17083,0.26518,0.0001,0.0036,**,d=0.577
baseline_kg_hybrid_full,hcr,0.0,0.0,0.0,0.0,0.0,2.0,1.0,ns,0
baseline_kg_hybrid_full,jir,0.01639,0.0123,0.0041,-0.0123,0.02049,0.842,1.0,ns,ARD=0.004;RR=1.333
baseline_kg_hybrid_full,mrr,0.2999,0.17999,0.11992,0.07752,0.1637,0.0001,0.0036,**,d=0.350
baseline_kg_hybrid_full,ndcg,0.31471,0.19811,0.1166,0.07325,0.16042,0.0001,0.0036,**,d=0.338
baseline_kg_hybrid_full,abstention_f1,0.6755,0.0,0.6755,0.58108,0.75641,0.0001,0.0036,**,d=15.161
